Date,Number_of_Sales
2018-12-29,3148.0
2018-12-30,3086.0
2018-12-31,3355.0
2019-01-01,2467.0
2019-01-02,2691.0
2019-01-03,2747.0
2019-01-04,2748.0
2019-01-05,2858.0
2019-01-06,2760.0
2019-01-07,3150.0
2019-01-08,2380.0
2019-01-09,2522.0
2019-01-10,3921.0
2019-01-11,8126.0
2019-01-12,5905.0
2019-01-13,5607.0
2019-01-14,4466.0
2019-01-15,4266.0
2019-01-16,4405.0
2019-01-17,3792.0
2019-01-18,4517.0
2019-01-19,4278.0
2019-01-20,4746.0
2019-01-21,4265.0
2019-01-22,2523.0
2019-01-23,3054.0
2019-01-24,3847.0
2019-01-25,3327.0
2019-01-26,7525.0
2019-01-27,6951.0
2019-01-28,4655.0
2019-01-29,3322.0
2019-01-30,3385.0
2019-01-31,2987.0
2019-02-01,3886.0
2019-02-02,4150.0
2019-02-03,4733.0
2019-02-04,3278.0
2019-02-05,3000.0
2019-02-06,2559.0
2019-02-07,2848.0
2019-02-08,3199.0
2019-02-09,6051.0
2019-02-10,5688.0
2019-02-11,4602.0
2019-02-12,3903.0
2019-02-13,3799.0
2019-02-14,4689.0
2019-02-15,3707.0
2019-02-16,6631.0
2019-02-17,5263.0
2019-02-18,4490.0
2019-02-19,2631.0
2019-02-20,3035.0
2019-02-21,3654.0
2019-02-22,4405.0
2019-02-23,4924.0
2019-02-24,4047.0
2019-02-25,4186.0
2019-02-26,4519.0
2019-02-27,2876.0
2019-02-28,2512.0
2019-03-01,3732.0
2019-03-02,5541.0
2019-03-03,6954.0
2019-03-04,5208.0
2019-03-05,4824.0
2019-03-06,5213.0
2019-03-07,5717.0
2019-03-08,6624.0
2019-03-09,6257.0
2019-03-10,4747.0
2019-03-11,4063.0
2019-03-12,4497.0
2019-03-13,3970.0
2019-03-14,3916.0
2019-03-15,4611.0
2019-03-16,7442.0
2019-03-17,6654.0
2019-03-18,5289.0
2019-03-19,5073.0
2019-03-20,4936.0
2019-03-21,4505.0
2019-03-22,4993.0
2019-03-23,6144.0
2019-03-24,6325.0
2019-03-25,5310.0
2019-03-26,4857.0
2019-03-27,4502.0
2019-03-28,4160.0
2019-03-29,26709.0
2019-03-30,9617.0
2019-03-31,10872.0
2019-04-01,8093.0
2019-04-02,5479.0
2019-04-03,4315.0
2019-04-04,3869.0
2019-04-05,3741.0
2019-04-06,4295.0
2019-04-07,4072.0
2019-04-08,2917.0
2019-04-09,3363.0
2019-04-10,3559.0
2019-04-11,3080.0
2019-04-12,3738.0
2019-04-13,6560.0
2019-04-14,7267.0
2019-04-15,3777.0
2019-04-16,3972.0
2019-04-17,4397.0
2019-04-18,4470.0
2019-04-19,5067.0
2019-04-20,4676.0
2019-04-21,4559.0
2019-04-22,3986.0
2019-04-23,3806.0
2019-04-24,3852.0
2019-04-25,3952.0
2019-04-26,3675.0
2019-04-27,4647.0
2019-04-28,4637.0
2019-04-29,3854.0
2019-04-30,4081.0
2019-05-01,5270.0
2019-05-02,4850.0
2019-05-03,4183.0
2019-05-04,4905.0
2019-05-05,4394.0
2019-05-06,3687.0
2019-05-07,2305.0
2019-05-08,4122.0
2019-05-09,4157.0
2019-05-10,5480.0
2019-05-11,7321.0
2019-05-12,5498.0
2019-05-13,4689.0
2019-05-14,3902.0
2019-05-15,2454.0
2019-05-16,2255.0
2019-05-17,3503.0
2019-05-18,3708.0
2019-05-19,3780.0
2019-05-20,3417.0
2019-05-21,3227.0
2019-05-22,3282.0
2019-05-23,3010.0
2019-05-24,4349.0
2019-05-25,5078.0
2019-05-26,4814.0
2019-05-27,4551.0
2019-05-28,5268.0
2019-05-29,4784.0
2019-05-30,5831.0
2019-05-31,4680.0
2019-06-01,2907.0
2019-06-02,3001.0
2019-06-03,2939.0
2019-06-04,2487.0
2019-06-05,3232.0
2019-06-06,2685.0
2019-06-07,3856.0
2019-06-08,3133.0
2019-06-09,4790.0
2019-06-10,3030.0
2019-06-11,3601.0
2019-06-12,3825.0
2019-06-13,4269.0
2019-06-14,3426.0
2019-06-15,3394.0
2019-06-16,4091.0
2019-06-17,3029.0
2019-06-18,3032.0
2019-06-19,2944.0
2019-06-20,2244.0
2019-06-21,3286.0
2019-06-22,3870.0
2019-06-23,3760.0
2019-06-24,3799.0
2019-06-25,2839.0
2019-06-26,2781.0
2019-06-27,1790.0
2019-06-28,1832.0
2019-06-29,2854.0
2019-06-30,2010.0
2019-07-01,1501.0
2019-07-02,1518.0
2019-07-03,1747.0
2019-07-04,2529.0
2019-07-05,2124.0
2019-07-06,3049.0
2019-07-07,2885.0
2019-07-08,2583.0
2019-07-09,2951.0
2019-07-10,2667.0
2019-07-11,1897.0
2019-07-12,2441.0
2019-07-13,2786.0
2019-07-14,2715.0
2019-07-15,2520.0
2019-07-16,1162.0
2019-07-17,2755.0
2019-07-18,4327.0
2019-07-19,2979.0
2019-07-20,4779.0
2019-07-21,4772.0
2019-07-22,3486.0
2019-07-23,3692.0
2019-07-24,2849.0
2019-07-25,2553.0
2019-07-26,4091.0
2019-07-27,3950.0
2019-07-28,3922.0
2019-07-29,3895.0
2019-07-30,4235.0
2019-07-31,3635.0
2019-08-01,3126.0
2019-08-02,2892.0
2019-08-03,3470.0
2019-08-04,3709.0
2019-08-05,3277.0
2019-08-06,2127.0
2019-08-07,2824.0
2019-08-08,2859.0
2019-08-09,2792.0
2019-08-10,2141.0
2019-08-11,2358.0
2019-08-12,2425.0
2019-08-13,2585.0
2019-08-14,2784.0
2019-08-15,2604.0
2019-08-16,2700.0
2019-08-17,3681.0
2019-08-18,3774.0
2019-08-19,2416.0
2019-08-20,6991.0
2019-08-21,4653.0
2019-08-22,4030.0
2019-08-23,4028.0
2019-08-24,5460.0
2019-08-25,3608.0
2019-08-26,2462.0
2019-08-27,4205.0
2019-08-28,3832.0
2019-08-29,3435.0
